u,v,water_count
118795,107456766,1
118795,1302474338,1
118811,450789549,1
1055829,1055862,1
1055839,1055848,1
1055848,1055839,1
1055862,1055829,1
6504010,8899944,1
8899944,6504010,1
20927538,1625104867,1
20927539,266845327,1
20927543,266845355,1
20930131,1803799660,1
25114899,1015283561,1
25114936,25114937,1
25114936,3412622872,1
25114937,25114936,1
25246547,5059377646,1
25284858,286659944,1
26081747,293592226,1
31829189,388240567,1
31829190,9598423373,1
247705590,602154243,1
247705591,247705592,1
247705592,247705591,1
253371116,2910663463,1
266845327,20927539,1
266845355,20927543,1
267949853,297272450,1
268575770,1784436503,1
270082815,1478881255,1
273344868,273345526,1
273345526,273344868,1
274068932,8042128671,1
274073766,293756816,1
282685979,430099109,1
282908053,3060526432,1
283085076,289787703,1
283279508,283279513,1
283279513,283279508,1
286659944,25284858,1
287804190,2740484264,1
289787685,289787688,1
289787685,7617964431,1
289787688,289787685,1
289787688,1171476020,1
289787688,1470661742,1
289787703,283085076,1
289787703,1171475885,1
289787703,1470661742,1
289787706,1171475885,1
289787706,1189376936,1
289787706,2605809692,1
289787706,4329811891,1
290726382,290726385,1
290726385,290726382,1
291748958,291748961,1
291748961,291748958,1
292643548,4932161413,1
293592226,26081747,1
293756816,274073766,1
293759361,298719899,1
293759363,298719901,1
295353691,295353759,1
295353759,295353691,1
295966949,298719902,1
297272450,267949853,1
297272450,4329811891,1
298719866,298719867,1
298719867,298719866,1
298719899,293759361,1
298719901,293759363,1
298719902,295966949,1
299402277,299402278,1
299402278,299402277,1
307149846,668090988,1
312389223,312389269,1
312389269,312389223,1
330204177,9893481684,1
354494665,354494667,1
354494667,354494665,1
368366811,6668044356,1
368366812,6668044337,1
388240567,31829189,1
430099109,282685979,1
450789549,1052708454,1
450789549,2910711808,1
482737261,1015283506,1
530843503,668090938,1
534752998,5058494407,1
560705638,560705640,1
560705640,560705638,1
560705663,569985907,1
566128068,566166347,1
566166347,566128068,1
566174893,9825643402,1
569985907,560705663,1
569985907,569985919,2
569985919,569985907,2
569985919,569985921,1
569985919,569985924,1
569985921,569985919,1
569985924,569985919,1
576674752,668090930,1
577282351,5792112069,1
577282415,1015155159,1
577282536,582304572,1
582304572,577282536,1
602153877,619318125,1
602154243,247705590,1
611763102,619318129,1
618819473,3379557973,1
619318125,602153877,1
619318129,611763102,1
668090930,576674752,1
668090930,668090938,1
668090930,10073200346,1
668090938,530843503,1
668090938,668090930,1
668090938,10073200345,1
668090949,1718634464,1
668090964,1620062298,1
668090988,307149846,1
673971695,673971708,1
673971708,673971695,1
677318853,677318854,1
677318854,677318853,1
677318888,677318889,1
677318889,677318888,1
697832669,9810546184,1
1015155159,577282415,1
1015155159,7142640865,1
1015283506,482737261,1
1015283561,25114899,1
1171475885,289787703,1
1171475885,289787706,1
1171475885,1171476020,1
1171475885,8021732556,1
1171476020,289787688,1
1171476020,1171475885,1
1171476020,7617964431,1
1189376936,289787706,1
1247869964,1270978999,1
1270978999,1247869964,1
1270979079,1270979171,1
1270979171,1270979079,1
1282708019,1282708027,1
1282708027,1282708019,1
1470661742,289787688,1
1470661742,289787703,1
1478881255,270082815,1
1524446192,6828019459,1
1579567702,9893481663,1
1579567759,9893481661,1
1596952574,1596952586,1
1596952586,1596952574,1
1615580233,1615580236,1
1615580236,1615580233,1
1620062285,1916194083,1
1620062297,1717741784,1
1620062298,668090964,1
1623906347,9893481662,1
1625104867,20927538,1
1640257212,1783563300,1
1640257220,1783563301,1
1717741780,1916193856,1
1717741784,1620062297,1
1718634464,668090949,1
1783563300,1640257212,1
1783563301,1640257220,1
1784436503,268575770,1
1801667988,1806253481,1
1803799660,20930131,1
1806253481,1801667988,1
1916193856,1717741780,1
1916194083,1620062285,1
1916194095,1916194110,1
1916194110,1916194095,1
2605809692,289787706,1
2701003825,4176892785,1
2702106572,2740484084,2
2740484084,2702106572,2
2740484264,287804190,1
2805174778,2805174779,1
2805174779,2805174778,1
2910663463,253371116,1
2910711598,8042128671,1
2910711598,8042128673,1
2910711598,8042128675,1
2910711808,450789549,1
2910711808,8042128672,1
3047095449,8487871508,1
3047095450,8487812720,1
3060526432,282908053,1
3224267805,3224267820,1
3224267820,3224267805,1
3379557973,618819473,1
3379557973,8441650297,1
3412622872,25114936,1
4176892785,2701003825,1
4329811891,289787706,1
4329811891,297272450,1
4329811891,7617964431,1
4585346071,4585346072,1
4585346072,4585346071,1
4626190490,5109767488,1
4640188095,5109767484,1
4862583426,9825643402,1
4932161413,292643548,1
4945414577,4945414574,1
5058494407,534752998,1
5058494680,9401371230,1
5059377646,25246547,1
5109767484,4640188095,1
5109767488,4626190490,1
5310063096,6648993923,2
5792112069,577282351,1
5849798254,5849798995,1
5849798995,5849798254,1
5893049099,9893431008,1
5930049367,10126449819,1
5930049369,6611781918,1
6018007909,10587037003,1
6422601090,7912152284,1
6611781918,5930049369,1
6611781918,11047098733,1
6648993923,5310063096,2
6668044337,368366812,1
6668044356,368366811,1
6828019459,1524446192,1
7102031439,7102031440,1
7102031440,7102031439,1
7142640865,1015155159,1
7617964431,289787685,1
7617964431,1171476020,1
7617964431,4329811891,1
7869890156,7869890159,1
7869890159,7869890156,1
7912152284,6422601090,1
7919764211,7919764212,1
7919764212,7919764211,1
8021732556,1171475885,1
8042128671,118795,1
8042128671,2910711598,1
8042128672,2910711808,1
8042128673,2910711598,1
8042128675,2910711598,1
8441650296,11047105428,1
8444636916,8444647217,1
8444647217,8444636916,1
8487812720,3047095450,1
8487871508,3047095449,1
8505065569,8505065571,1
8505065571,8505065569,1
8674286120,8674300762,1
8674286136,8674286137,1
8674286137,8674286136,1
8674286180,8674286181,1
8674286181,8674286180,1
8674300727,8674300730,1
8674300730,8674300727,1
8674300742,8674300757,1
8674300757,8674300742,1
8674300757,8674300758,1
8674300757,8674300760,1
8674300758,8674300757,1
8674300760,8674300757,1
8674300762,8674286120,1
8892909353,8892909459,1
8892909459,8892909353,1
9401371230,5058494680,1
9598423373,31829190,1
9810546184,697832669,1
9810546205,9810546206,1
9810546206,9810546205,1
9821927093,10244483284,1
9825643402,566174893,1
9825643402,4862583426,1
9893431008,5893049099,1
9893481661,1579567759,1
9893481662,1623906347,1
9893481663,1579567702,1
9893481684,330204177,1
10073200345,668090938,1
10073200346,668090930,1
10126449819,5930049367,1
10132442688,10132442694,2
10132442694,10132442688,2
10244483284,9821927093,1
10587036950,10587037002,1
10587037002,10587036950,1
10587037003,6018007909,1
10733698994,10733698997,1
10733698997,10733698994,1
10989082048,10989082055,1
10989082055,10989082048,1
11047098643,11047098729,1
11047098643,11047148066,1
11047098729,11047098643,1
11047098733,6611781918,1
11047148066,11047098643,1
11047190428,11047190431,1
11047190431,11047190428,1
11047190437,11047190615,1
11047190615,11047190437,1
